directorio,secuencia_p,orden,hogar,regis,per,p3271,p6040,p3042,inglabo,id_registro_original
8436591,1,4,1,10,2025,1,28,10.0,,1550
8436592,1,2,1,10,2025,2,47,5.0,4000000.0,1552
8436593,1,1,1,10,2025,1,34,9.0,400000.0,1553
8436596,1,1,1,10,2025,1,78,10.0,,1562
8436596,1,2,1,10,2025,2,73,10.0,,1563
8436597,1,3,1,10,2025,1,29,10.0,2100000.0,1566
8436597,1,4,1,10,2025,1,27,4.0,,1567
8436598,2,1,2,10,2025,1,27,8.0,1423000.0,1569
8436598,2,2,2,10,2025,2,22,5.0,400000.0,1570
8436599,1,4,1,10,2025,2,21,5.0,,1574
8436601,1,1,1,10,2025,2,20,8.0,1800000.0,1579
8436606,1,2,1,10,2025,2,54,5.0,,1590
8436608,1,1,1,10,2025,2,48,3.0,,1592
8436609,1,2,1,10,2025,1,25,5.0,1423500.0,1597
8436611,1,2,1,10,2025,1,63,10.0,,1603
8436612,1,1,1,10,2025,1,36,10.0,4500000.0,1606
8436612,1,2,1,10,2025,2,37,10.0,7200000.0,1607
8436612,1,3,1,10,2025,1,7,3.0,,1608
8436612,1,4,1,10,2025,2,66,4.0,,1609
8436613,1,1,1,10,2025,1,51,10.0,2500000.0,1610
8436613,1,4,1,10,2025,2,6,3.0,,1613
8436615,1,2,1,10,2025,2,37,5.0,29000.0,1617
8436615,1,3,1,10,2025,1,11,3.0,,1618
8436616,1,1,1,10,2025,1,42,12.0,10800000.0,1620
8436619,1,3,1,10,2025,1,19,10.0,2130000.0,1628
8436623,1,2,1,10,2025,1,53,5.0,1500000.0,1637
8436624,1,3,1,10,2025,2,31,10.0,2846000.0,1641
