directorio,secuencia_p,orden,hogar,regis,per,p3271,p6040,p3042,inglabo,id_registro_original
8038744,1,2,1,10,2024,1,37,8.0,2100000.0,1377
8042743,1,2,1,10,2024,1,37,5.0,1500000.0,10448
8041100,1,2,1,10,2024,2,60,5.0,1300000.0,6773
8039449,1,1,1,10,2024,2,37,4.0,1300000.0,3068
8053169,1,4,1,10,2024,1,23,3.0,1300000.0,34527
8054463,1,2,1,10,2024,2,31,11.0,4500000.0,37345
8042689,1,1,1,10,2024,2,29,10.0,3500000.0,10318
8078202,1,2,1,10,2024,1,17,4.0,400000.0,47865
8050680,1,1,1,10,2024,1,48,3.0,1000000.0,28571
8076979,1,1,1,10,2024,1,47,8.0,1300000.0,45090
8046600,1,1,1,10,2024,1,38,5.0,900000.0,20015
8084990,1,4,1,10,2024,2,29,8.0,1000000.0,62377
8079852,1,1,1,10,2024,1,54,10.0,1500000.0,51746
8077092,1,1,1,10,2024,1,73,3.0,700000.0,45407
8048888,1,3,1,10,2024,1,32,10.0,1600000.0,24523
8084082,1,1,1,10,2024,2,27,5.0,1400000.0,60459
8075794,1,1,1,10,2024,1,21,4.0,750000.0,42100
8038248,1,2,1,10,2024,2,54,10.0,600000.0,160
8044730,1,1,1,10,2024,2,25,5.0,400000.0,15345
8038686,1,3,1,10,2024,1,37,5.0,2500000.0,1214
8050239,1,2,1,10,2024,1,53,5.0,1300000.0,27430
8038817,1,2,1,10,2024,2,40,5.0,1300000.0,1562
8053476,1,2,1,10,2024,1,47,11.0,26500000.0,35229
8038611,1,1,1,10,2024,2,40,10.0,3600000.0,999
8083236,1,2,1,10,2024,2,43,10.0,2000000.0,58628
8078706,1,1,1,10,2024,1,73,3.0,268000.0,48979
8047928,1,1,1,10,2024,2,46,4.0,800000.0,22698
8044016,1,3,1,10,2024,2,23,10.0,2000000.0,13454
8044505,1,1,1,10,2024,2,27,9.0,1300000.0,14722
8078092,1,2,1,10,2024,2,48,3.0,255000.0,47610
8080385,1,3,1,10,2024,2,41,12.0,5852000.0,53029
8080230,1,4,1,10,2024,2,24,9.0,2000000.0,52633
8077002,1,1,1,10,2024,2,24,3.0,600000.0,45134
8056247,1,4,1,10,2024,1,61,3.0,900000.0,40920
8053765,1,1,1,10,2024,2,49,11.0,7500000.0,35865
8043577,1,2,1,10,2024,2,24,5.0,1650000.0,12348
8041867,1,1,1,10,2024,2,63,3.0,500000.0,8473
8045193,1,1,1,10,2024,1,32,12.0,5800000.0,16598
8054826,1,1,1,10,2024,2,57,8.0,1800000.0,38152
8079964,1,2,1,10,2024,2,60,3.0,100000.0,51989
8085968,1,1,1,10,2024,1,25,5.0,900000.0,63114
8078035,1,1,1,10,2024,2,55,1.0,2000000.0,47506
8042000,1,1,1,10,2024,2,49,11.0,4000000.0,8839
8084267,1,1,1,10,2024,2,58,5.0,590000.0,60846
8045153,1,2,1,10,2024,2,48,5.0,500000.0,16470
8078181,1,1,1,10,2024,2,31,6.0,960000.0,47814
8075845,1,1,1,10,2024,1,58,3.0,950000.0,42228
8049065,1,1,1,10,2024,2,36,10.0,3900000.0,24861
8048230,1,7,1,10,2024,2,33,5.0,1300000.0,23312
8040561,1,2,1,10,2024,2,45,10.0,2900000.0,5520
8086423,1,2,1,10,2024,2,55,8.0,3000000.0,63642
8051384,1,1,1,10,2024,2,51,11.0,4500000.0,30049
8056145,1,1,1,10,2024,1,25,6.0,1300000.0,40690
8045308,1,3,1,10,2024,1,31,4.0,1300000.0,16904
8080719,1,2,1,10,2024,2,22,10.0,1300000.0,53636
8053705,1,1,1,10,2024,1,41,10.0,1300000.0,35758
8038262,1,2,1,10,2024,2,30,5.0,0.0,202
8083825,1,2,1,10,2024,1,55,1.0,1300000.0,59822
8043174,1,1,1,10,2024,2,59,3.0,1300000.0,11336
8076426,1,1,1,10,2024,2,34,5.0,1200000.0,43819
8050362,1,1,1,10,2024,2,33,8.0,1200000.0,27764
8044549,1,1,1,10,2024,1,52,5.0,2600000.0,14865
8043266,1,1,1,10,2024,1,43,3.0,1300000.0,11529
8049821,1,1,1,10,2024,2,35,8.0,800000.0,26446
8078788,1,4,1,10,2024,2,15,5.0,300000.0,49165
8085762,1,2,1,10,2024,1,27,8.0,200000.0,62798
8054554,1,7,1,10,2024,2,55,3.0,800000.0,37512
8051349,1,1,1,10,2024,1,69,4.0,40000.0,29959
8081004,1,1,1,10,2024,2,20,8.0,1250000.0,54197
8050335,1,4,1,10,2024,2,22,8.0,1460000.0,27659
8079900,1,3,1,10,2024,1,29,10.0,6000000.0,51885
8042548,1,2,1,10,2024,2,57,3.0,680000.0,10045
8046731,1,1,1,10,2024,2,50,4.0,1860000.0,20316
8043067,1,1,1,10,2024,1,41,1.0,1200000.0,11067
8055913,1,2,1,10,2024,1,32,5.0,1850000.0,40249
8076688,1,1,1,10,2024,2,58,3.0,1000000.0,44446
8085885,1,1,1,10,2024,1,40,10.0,2000000.0,63000
8081565,1,1,1,10,2024,2,62,8.0,400000.0,55416
8038352,1,2,1,10,2024,1,20,10.0,1300000.0,442
8053044,1,1,1,10,2024,2,51,5.0,2000000.0,34303
8045715,1,1,1,10,2024,2,62,3.0,1200000.0,18000
8078696,1,1,1,10,2024,1,47,3.0,1700000.0,48957
8040509,1,1,1,10,2024,2,56,3.0,400000.0,5399
8040097,1,1,1,10,2024,1,52,5.0,700000.0,4357
8053904,1,1,1,10,2024,1,30,5.0,1300000.0,36107
8083377,1,1,1,10,2024,2,53,10.0,2500000.0,58952
8079592,1,2,1,10,2024,2,47,3.0,1300000.0,51030
8050036,1,1,1,10,2024,1,69,3.0,1300000.0,26955
8079616,1,1,1,10,2024,2,62,3.0,520000.0,51074
