per;mes;orden;hogar;p3271;p6040;p6050;p6083;p3042;inglabo;rama2d_r4
2024;12;3;1;2;28;3;1;10.0;3400000.0;69.0
2024;12;1;1;2;51;1;3;4.0;580000.0;47.0
2024;12;2;1;2;19;3;1;8.0;1300000.0;45.0
2024;12;3;1;1;24;3;1;10.0;1500000.0;85.0
2024;12;2;1;2;31;2;2;5.0;0.0;96.0
2024;12;6;1;1;58;3;3;3.0;100000.0;96.0
2024;12;1;1;1;29;1;2;10.0;2000000.0;65.0
2024;12;2;1;1;24;2;2;5.0;1500000.0;49.0
2024;12;1;1;2;33;1;3;8.0;1200000.0;47.0
2024;12;1;1;1;42;1;2;5.0;1300000.0;82.0
2024;12;3;1;1;26;3;1;5.0;1300000.0;47.0
2024;12;1;1;1;30;1;2;4.0;800000.0;1.0
2024;12;1;1;1;44;1;2;11.0;3600000.0;21.0
2024;12;1;1;2;33;1;2;5.0;650000.0;81.0
2024;12;1;1;1;36;1;2;5.0;800000.0;1.0
2024;12;1;1;1;51;1;2;3.0;820000.0;49.0
2024;12;2;1;2;27;2;2;10.0;1500000.0;86.0
2024;12;4;1;1;18;3;1;8.0;1200000.0;47.0
2024;12;1;1;1;42;1;2;10.0;4000000.0;84.0
2024;12;1;1;2;48;1;2;10.0;3300000.0;85.0
2024;12;1;1;2;36;1;2;5.0;400000.0;47.0
2024;12;1;1;2;36;1;2;8.0;1300000.0;49.0
2024;12;1;1;2;32;1;2;10.0;1500000.0;47.0
2024;12;2;1;2;50;3;1;5.0;1300000.0;14.0
2024;12;2;1;2;48;2;3;9.0;2500000.0;85.0
2024;12;2;1;2;26;3;1;9.0;2000000.0;47.0
2024;12;1;1;1;62;1;3;10.0;1500000.0;69.0
2024;12;1;1;1;37;1;2;3.0;800000.0;1.0
2024;12;1;1;2;70;1;3;4.0;100000.0;47.0
2024;12;1;1;1;60;1;3;4.0;0.0;31.0
2024;12;1;1;2;34;1;1;10.0;1700000.0;41.0
2024;12;2;1;1;30;2;2;5.0;600000.0;41.0
2024;12;1;1;1;39;1;2;10.0;6000000.0;70.0
2024;12;1;1;1;48;1;2;12.0;3900000.0;85.0
2024;12;1;1;1;39;1;3;4.0;1400000.0;41.0
2024;12;1;1;1;66;1;2;11.0;4000000.0;85.0
2024;12;1;1;1;19;1;2;8.0;1000000.0;41.0
2024;12;1;1;2;52;1;2;8.0;566000.0;88.0
2024;12;1;1;2;39;1;2;10.0;1338000.0;85.0
2024;12;1;1;1;32;1;2;5.0;1500000.0;25.0
2024;12;1;1;2;52;1;1;5.0;1300000.0;92.0
2024;12;1;1;2;49;1;3;3.0;1120000.0;97.0
2024;12;1;1;2;38;1;2;6.0;800000.0;96.0
2024;12;1;1;2;36;1;2;5.0;1462000.0;1.0
2024;12;1;1;1;51;1;2;5.0;900000.0;47.0
2024;12;2;1;2;42;2;2;3.0;1300000.0;88.0
2024;12;2;1;1;39;2;2;10.0;2000000.0;35.0
2024;12;1;1;1;22;1;2;4.0;1000000.0;10.0
2024;12;1;1;1;30;1;2;8.0;1300000.0;82.0
2024;12;3;1;2;33;3;1;9.0;1600000.0;45.0
2024;12;2;1;2;22;2;2;5.0;1300000.0;55.0
