per;mes;orden;hogar;p3271;p6040;p6050;p6083;p3042;inglabo;rama2d_r4
2024;12;5;1;2;41;6;3;10;2900000;65
2024;12;6;1;2;13;9;1;4;;
2024;12;1;1;1;44;1;2;5;1830000;96
2024;12;2;1;2;41;2;2;5;;
2024;12;3;1;1;20;3;1;10;;
2024;12;4;1;1;14;3;1;4;;
2024;12;1;1;2;70;1;3;10;;
2024;12;2;1;1;84;2;3;10;;
2024;12;1;1;2;77;1;3;5;500000;47
2024;12;2;1;2;14;8;2;4;;
2024;12;1;1;2;61;1;3;5;;
2024;12;2;1;1;59;6;3;5;;
2024;12;1;1;1;82;1;3;10;;
2024;12;2;1;2;67;2;3;8;;
2024;12;3;1;1;39;3;1;9;2150000;26
2024;12;1;1;1;41;1;3;10;3560000;62
2024;12;2;1;2;46;2;2;10;9600000;62
2024;12;3;1;1;7;3;1;3;;
2024;12;1;1;1;53;1;2;4;700000;95
2024;12;2;1;2;50;2;2;4;700000;97
2024;12;3;1;2;8;3;1;3;;
2024;12;4;1;2;27;3;1;4;1000000;15
2024;12;5;1;1;12;8;1;3;;
2024;12;6;1;1;10;8;1;3;;
2024;12;7;1;2;7;8;1;3;;
2024;12;1;1;1;53;1;3;5;2000000;84
2024;12;2;1;1;20;3;2;10;1300000;64
2024;12;3;1;1;15;3;2;5;;
2024;12;1;1;1;53;1;2;12;15000000;86
2024;12;2;1;1;19;3;2;10;;
2024;12;3;1;2;17;3;2;5;;
2024;12;1;1;1;81;1;3;5;;
2024;12;2;1;2;70;2;3;4;;
2024;12;1;1;1;20;1;1;8;1300000;20
2024;12;2;1;2;24;2;2;5;2000000;96
2024;12;3;1;2;40;4;2;8;1300000;88
2024;12;1;1;2;43;1;2;5;640000;56
2024;12;2;1;1;41;2;2;3;500000;47
2024;12;3;1;1;21;3;1;5;1300000;41
2024;12;4;1;1;19;3;1;4;1300000;41
2024;12;5;1;2;14;3;1;4;;
2024;12;6;1;1;3;3;1;1;;
2024;12;1;1;1;57;1;3;3;1000000;15
2024;12;1;1;1;50;1;2;11;15400000;65
2024;12;2;1;2;44;2;2;8;;
2024;12;3;1;1;16;3;1;10;;
2024;12;1;1;2;43;1;2;4;1300000;97
2024;12;2;1;1;23;2;2;4;;
2024;12;3;1;2;21;3;1;5;;
2024;12;4;1;2;19;3;1;5;;
2024;12;1;1;1;58;1;2;10;5000000;71
2024;12;2;1;2;57;2;2;10;6000000;42
2024;12;3;1;1;26;3;1;12;3500000;51
2024;12;4;1;2;78;10;3;3;1900000;97
2024;12;1;1;1;24;1;2;5;1300000;41
2024;12;2;1;2;36;2;2;1;;
2024;12;3;1;1;12;3;1;3;;
2024;12;4;1;2;11;3;1;3;;
2024;12;5;1;1;21;9;2;5;1300000;41
2024;12;1;1;2;68;1;3;3;;
2024;12;1;1;2;49;1;1;8;2600000;47
2024;12;2;1;2;80;4;3;3;;
2024;12;1;1;2;43;1;2;4;1000000;96
2024;12;2;1;2;19;3;1;5;;
2024;12;3;1;2;17;3;1;5;;
2024;12;4;1;1;4;3;1;1;;
2024;12;1;1;1;71;1;3;3;;
2024;12;2;1;2;70;2;3;3;;
2024;12;3;1;1;45;3;1;12;5200000;85
2024;12;4;1;1;20;8;2;10;;
2024;12;5;1;2;14;8;2;4;;
2024;12;1;1;2;67;1;3;3;;
2024;12;2;1;1;62;2;3;3;700000;49
2024;12;1;1;1;65;1;3;3;1400000;68
2024;12;2;1;2;62;2;3;4;;
2024;12;3;1;1;45;3;1;5;;
2024;12;4;1;2;39;3;1;8;;
2024;12;5;1;2;11;8;1;3;;
2024;12;6;1;1;23;3;1;9;;
2024;12;1;1;1;62;1;2;11;;71
2024;12;2;1;2;61;2;3;10;;
2024;12;3;1;1;22;3;1;10;;
2024;12;4;1;2;19;3;1;10;;
2024;12;1;1;2;50;1;2;12;4000000;85
2024;12;2;1;1;71;2;3;10;;
2024;12;3;1;2;28;3;1;10;6000000;86
2024;12;4;1;2;14;3;1;4;;
2024;12;1;1;2;76;1;3;1;;
2024;12;2;1;1;66;6;3;3;1300000;94
2024;12;1;1;2;46;1;3;11;;
2024;12;1;1;2;45;1;2;5;2000000;14
2024;12;2;1;1;26;3;1;10;;
2024;12;3;1;1;30;3;1;5;1300000;49
2024;12;1;1;1;31;1;1;10;1300000;56
2024;12;2;1;1;35;2;2;10;2000000;79
2024;12;3;1;2;67;4;3;3;;
2024;12;1;1;2;35;1;2;9;3000000;85
2024;12;1;1;2;33;1;2;5;2000000;14
2024;12;2;1;2;15;3;1;4;;
2024;12;3;1;2;12;3;1;4;;
2024;12;1;1;1;60;1;2;10;7800000;35
2024;12;1;1;1;39;1;2;11;5000000;70
2024;12;2;1;2;32;2;2;10;3000000;70
2024;12;3;1;2;3;3;1;1;;
2024;12;4;1;2;39;10;2;5;1880000;97
2024;12;1;1;2;42;1;2;8;600000;14
2024;12;2;1;2;18;3;1;9;;
2024;12;3;1;1;16;3;1;4;;
2024;12;1;1;1;33;1;2;8;1700000;35
2024;12;2;1;2;31;2;2;9;1300000;82
2024;12;3;1;1;6;3;1;2;;
2024;12;1;1;2;72;1;3;3;;
2024;12;2;1;2;40;3;1;5;;
2024;12;3;1;1;45;7;2;4;2000000;49
2024;12;4;1;2;12;8;1;4;;
2024;12;5;1;2;25;8;1;5;1300000;82
2024;12;6;1;1;52;9;2;4;2400000;41
2024;12;7;1;2;13;9;1;4;;
2024;12;1;1;2;40;1;1;9;2000000;16
2024;12;2;1;2;67;4;3;3;;
2024;12;1;1;1;30;1;2;5;3400000;46
2024;12;2;1;2;31;2;2;11;5200000;86
2024;12;3;1;1;8;3;1;3;;
2024;12;1;1;2;40;1;2;5;100000;47
2024;12;2;1;1;21;3;1;5;1300000;47
2024;12;1;1;2;81;1;3;4;;
2024;12;2;1;2;51;3;1;10;3100000;96
2024;12;3;1;2;39;10;2;4;1850000;97
2024;12;1;1;1;33;1;2;4;1200000;47
2024;12;2;1;2;33;2;2;5;;
2024;12;3;1;1;10;3;1;3;;
2024;12;4;1;1;8;3;1;3;;
2024;12;5;1;1;4;3;1;2;;
2024;12;1;1;1;26;1;2;10;2200000;41
2024;12;2;1;1;21;6;2;10;;
2024;12;1;1;2;63;1;3;12;8000000;86
2024;12;1;1;1;50;1;2;10;8000000;94
2024;12;2;1;2;49;2;2;10;4000000;60
2024;12;3;1;2;15;3;1;4;;
2024;12;4;1;2;52;10;2;3;2362000;97
2024;12;1;1;1;60;1;3;3;800000;56
2024;12;2;1;2;57;6;3;3;1280000;56
2024;12;1;1;2;41;1;2;10;250000;47
2024;12;2;1;1;37;2;3;9;1500000;41
2024;12;3;1;2;22;3;1;5;1300000;47
2024;12;4;1;2;15;3;1;4;;
